Instancia,Lower bound,Upper bound,Menor Tempo,Maior Tempo,Média (Aptidão),Desvio padrão (Aptidão),Variancia (Aptidão),Mediana (Aptidão),Média (Tempo),Desvio padrão (Tempo),Variancia (Tempo),Mediana (Tempo)
tai20_5.txt,1297,1305,4.782073497772217,6.287163019180298,1299.7,3.407345007480164,11.61,1297.0,5.38219575881958,0.5463777195221482,0.29852861239022327,5.159790635108948
tai20_10.txt,1671,1715,3.9350638389587402,6.264337539672852,1698.3,12.86895489152091,165.60999999999999,1701.0,4.7986129999160765,1.0544015521058527,1.1117626330832313,3.946200728416443
tai20_20.txt,2391,2458,5.643299579620361,5.688746213912964,2429.4,16.24930767755968,264.03999999999996,2431.0,5.6644272089004515,0.012553513783737213,0.0001575907083184802,5.66141951084137
tai50_5.txt,2741,2752,30.033737421035767,30.186508178710938,2749.8,3.026549190084311,9.159999999999998,2751.0,30.1071790933609,0.045329048201750696,0.002054722610876638,30.096354126930237
tai50_10.txt,3287,3319,30.02844262123108,30.202507972717285,3304.1,10.530432089900206,110.89000000000001,3307.0,30.173499417304992,0.04975653183709033,0.0024757124604553836,30.196354269981384
tai50_20.txt,4287,4318,30.061392068862915,30.38867497444153,4305.2,9.410632284814874,88.56,4304.5,30.147889924049377,0.11812965432885009,0.01395461523185361,30.097463130950928
tai100_5.txt,5609,5639,33.26711964607239,33.571757078170776,5625.0,9.633275663033837,92.8,5625.5,33.378675270080564,0.10946160442441756,0.01198184284316767,33.33320593833923
tai100_10.txt,6355,6426,34.813754081726074,35.191490173339844,6381.5,21.83231549790356,476.65,6377.0,34.92584402561188,0.10232784802933306,0.010470988482314283,34.90613889694214
tai100_20.txt,7206,7309,38.954638957977295,39.25108051300049,7266.4,31.0972667609229,967.0400000000002,7276.0,39.083426928520204,0.07891531045785269,0.006227626224659275,39.080068707466125
tai200_10.txt,11487,11621,216.48566150665283,220.6961648464203,11557.9,34.63654139777816,1199.69,11560.0,218.8297162294388,1.0915026411152313,1.1913780155615252,218.9292163848877
